asin,country
B000002NSX,us
B000002NSY,us
B000002NSZ,us
B000002NT1,us
B000002NT2,us
B000002NT3,us
B000002NT4,us
B000002NT5,us
B000002NT6,us
B000002NT8,us
B000002NTC,us
B000002NTD,us
B000002NTE,us
B000002NTF,us
B000002NTG,us
B000002NTI,us
B000002NTK,us
B000002NTL,us
B000002NTP,us
B000002NTQ,us
B000002NTT,us
B000002NTW,us
B000002NTY,us
B000002NTZ,us
B000002NU0,us
B000002NU5,us
B000002NU6,us
B000002NU7,us
B000002NU9,us
B000002NUB,us
B000002NUC,us
B000002NUD,us
B000002NUF,us
B000002SR8,us
B000002TUZ,us
B000002ULU,us
B00000310M,us
B0000033BU,us
B00000371G,us
B000003CLG,us
B000003CM4,us
B000003IV1,us
B000003TM6,us
B000003TWF,us
B000003TWH,us
B0000042IU,us
B0000045S8,us
B0000045SD,us
B0000045SP,us
B0000045T5,us
B0000045TN,us
B0000045UT,us
B0000045UX,us
B0000045VT,us
B0000045VV,us
B0000045W3,us
B0000045WD,us
B000004626,us
B000004627,us
B00000463K,us
B00000463P,us
B000004644,us
B000004659,us
B00000465G,us
B00000465Q,us
B00000466G,us
B000004ASZ,us
B000004BLA,us
B000004BM3,us
B0000058QK,us
B0000059O1,us
B000005BXT,us
B000005CFA,us
B000005DDH,us
B000005GJQ,us
B000005GW0,us
B000005HXX,us
B000005JRM,us
B000005JRR,us
B000005JRV,us
B000005JRW,us
B000005OAC,us
B000005OAS,us
B000005OLD,us
B000005YZ7,us
B000005Z7Z,us
B000005ZJF,us
B000005ZWF,us
B000005ZWG,us
B000005ZWH,us
B0000060LA,us
B0000061SO,us
B0000063HB,us
B0000067Z6,us
B000006AYT,us
B000006SI8,us
B000006V9W,us
B000006YJ0,us
B000006YJ7,us
B000006Z0M,us
B0000071ZY,us
B00000728I,us
B00000735P,us
B000007404,us
B000007Q9K,us
B000007QAD,us
B000007QAT,us
B000007QAU,us
B000007V2J,us
B000007WJ0,us
B0000087M6,us
B000008BRQ,us
B000008CXZ,us
B000008D1M,us
B000008TLJ,us
